JICA Site,lat,lon,source
Corbetti,7.1715,38.4568,EARS
Abaya,6.7013,38.0354,EARS
Tulu Moye,8.1666,39.1394,EARS
Tendaho-1 (Dubti),11.6211,40.9298,EARS
Boseti,8.5944,39.5450,EARS
Tendaho-2 (Ayrobera),11.6639,41.0774,EARS
Tendaho-3 (Allalobeda),11.7502,41.0836,EARS
Fantale,8.9656,39.8971,EARS
Dofan,9.3322,40.1576,EARS
Aluto-1 (Langano),7.7885,38.7945,EARS
Gedemsa,8.3374,39.1881,EARS
Kone,8.8181,39.6925,EARS
Dallol,14.2417,40.3000,EARS
Danab,10.7026,41.8293,EARS
Teo,11.0167,40.8584,EARS
Meteka-Amoissa,10.0173,40.8299,EARS (Amoissa)
Aluto-2 (Finkilo),7.8000,38.8000,approx (Aluto complex)
Aluto-3 (Bobesa),7.8000,38.8100,EEP TOR 2025
Damali (Lake Abbe),11.0548,41.6484,EARS Lake Abhe 2 (approx)
Nazareth,8.4500,39.2800,approx (Adama area - verify)
Meteka,9.9800,40.7500,approx (Afar - verify)
Meteka-Ayelu,10.0800,40.5500,approx (Ayelu - verify)
Boina,11.6000,40.6000,approx (Afar - verify)
Arabi,13.5000,41.0000,approx (Danakil - verify)
Butajira,8.1100,38.3700,approx (central Rift - verify)
