Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
GERD (Hidase),Hydro,Reservoir,PP,ET,5150.0,,,,,,2022,,,11.2165,35.0936,,OP_01,
Gibe III,Hydro,Reservoir,PP,ET,1870.0,,,,,,2015,,,6.8482,37.3018,,OP_02,
Tana Beles,Hydro,Reservoir,PP,ET,460.0,,,,,,2010,,,11.8204,36.9204,,OP_03,
Gilgel Gibe II,Hydro,Reservoir,PP,ET,420.0,,,,,,2010,,,7.7567,37.5626,,OP_04,
Tekeze,Hydro,Reservoir,PP,ET,300.0,,,,,,2009,,,13.3493,38.7406,,OP_05,
Genale Dawa III,Hydro,Reservoir,PP,ET,254.0,,,,,,2020,,,5.5105,39.7182,,OP_06,
Gilgel Gibe I,Hydro,Reservoir,PP,ET,184.0,,,,,,2004,,,7.8376,37.326,,OP_07,
Melka Wakena,Hydro,Reservoir,PP,ET,153.0,,,,,,1988,,,7.225,39.4618,,OP_08,
Fincha,Hydro,Reservoir,PP,ET,134.2,,,,,,1973,,,9.55935,37.3644,,OP_09,
Amerti Neshe,Hydro,Reservoir,PP,ET,95.0,,,,,,2011,,,9.789086,37.269177,,OP_10,
Tis Abay II,Hydro,Run-Of-River,PP,ET,73.0,,,,,,2001,,,11.4888,37.5999,,OP_11,
Koka (Awash I),Hydro,Reservoir,PP,ET,43.32,,,,,,1960,,,8.4684,39.1588,,OP_12,
Awash II,Hydro,Run-Of-River,PP,ET,32.1,,,,,,1966,,,8.3932,39.352,,OP_13,
Awash III,Hydro,Run-Of-River,PP,ET,32.0,,,,,,1971,,,8.383551,39.360996,,OP_14,
Tis Abay I,Hydro,Run-Of-River,PP,ET,11.4,,,,,,1964,,,11.488411,37.600537,,OP_15,
Koysha (Gibe IV),Hydro,Reservoir,PP,ET,2160.0,,,,,,2025,,,6.57517,36.533219,,UC_16,
Adama II,Wind,Onshore,PP,ET,153.0,,,,,,2014,,,8.5449,39.2301,,OP_17,
Ashegoda,Wind,Onshore,PP,ET,120.0,,,,,,2012,,,13.4255,39.5735,,OP_18,
Assela,Wind,Onshore,PP,ET,100.0,,,,,,2025,,,8.1726,39.2017,,OP_19,
Ayisha II,Wind,Onshore,PP,ET,80.0,,,,,,2025,,,10.7538,42.5703,,OP_20,
Adama I,Wind,Onshore,PP,ET,51.0,,,,,,2012,,,8.5449,39.2301,,OP_21,
Ayisha I,Wind,Onshore,PP,ET,120.0,,,,,,2024,,,10.6971,42.5919,,UC_22,
Metehara Solar,Solar,PV,PP,ET,100.0,,,,,,2024,,,8.922245,39.924923,,UC_23,
Hawassa Solar,Solar,PV,PP,ET,1.2,,,,,,2004,,,7.1122,38.4048,,OP_24,
Dire Dawa,Oil,,PP,ET,40.0,,,,,,2004,,,9.582,41.879471,,OP_25,
Awash 7 Kilo,Oil,,PP,ET,35.0,,,,,,2004,,,9.002668,40.176838,,OP_26,
Kaliti,Oil,,PP,ET,14.0,,,,,,2004,,,8.883874,38.757249,,OP_27,
Dire Dawa (old),Oil,,PP,ET,3.6,,,,,,1965,,,9.604653,41.879471,,OP_28,
Axum,Oil,,PP,ET,3.15,,,,,,1975,,,14.107521,38.735817,,OP_29,
Adwa,Oil,,PP,ET,3.0,,,,,,1998,,,14.151761,38.873077,,OP_30,
Aluto Langano,Geothermal,,PP,ET,7.3,,,,,,1999,,,7.7884843,38.7944502,,OP_31,
Reppie Waste-to-Energy,Waste,,PP,ET,25.0,,,,,,2019,,,8.97625,38.709957,,OP_41,
